Word;Coefficient;Target
global cyberattack;-1,06150604801;High
clark howard;1,25822780183;High
bitcoin cash;-0,92344148875;High
bitcoin creator;1,03105705007;High
invest bitcoin;-0,914662385256;High
googl ban;1,0125051018;High
bitcoin drop;-0,852637595212;High
futur surg;0,935866230048;High
cryptocurr mine;-0,844601417116;High
bitcoin futur surg;0,935866230048;High
bitcoin crash;-0,820410360987;High
blockchain base;0,908744072171;High
bitcoin plung;-0,819652058755;High
crackdown fear;0,849650258161;High
bitcoin fall;-0,774249772986;High
craig wright;0,84822788369;High
mine cryptocurr;-0,766819518266;High
bitcoin top;0,808124174507;High
hit record;-0,730850865898;High
oil price;0,804976614078;High
crypto currenc;-0,694009386409;High
trade oil price;0,798230413804;High
credit card;-0,681141334434;High
cyber crimin;0,790699806842;High
health care;-0,668419125946;High
tax cut progress;0,750209767552;High
everyth need;-0,644192231091;High
cut progress;0,750209767552;High
asia share;-0,64305250937;High
venezuela launch;0,743435724228;High
bitcoin fall;-1,00272537029;Highest
bitcoin hit;1,4088269302;Highest
bitcoin slide;-0,861484675727;Highest
bitcoin soar;1,26420707846;Highest
bitcoin fraud;-0,795166683182;Highest
asia share;1,22826450748;Highest
accept bitcoin;-0,77436963257;Highest
record high;1,15092835581;Highest
south korea;-0,705004186638;Highest
bitcoin boom;1,05071315866;Highest
blockchain platform;-0,69570027911;Highest
time high;1,01658082613;Highest
bitcoin mine;-0,63472206206;Highest
new record;1,01548943118;Highest
bitcoin payment;-0,629904849261;Highest
bitcoin surg;1,01189527492;Highest
world first;-0,628131263113;Highest
year high;0,961796780095;Highest
health care;-0,601128381561;Highest
bitcoin hit record;0,942769108912;Highest
winklevoss twin;-0,599543922372;Highest
bitcoin worth;0,933845392956;Highest
craig wright;-0,568315647822;Highest
hit ransomwar;0,919450883286;Highest
cryptocurr trade;-0,564899347383;Highest
game throne;0,907471690286;Highest
bitcoin extend;-0,564505280359;Highest
new high;0,876088089808;Highest
cryptocurr ad;-0,555871029677;Highest
demand million;0,867758641157;Highest
record high;-1,20414834198;Low
blockchain platform;1,30969074394;Low
bitcoin plung;-0,826726213471;Low
north korea link;1,2559372581;Low
ap top news;-0,730239700223;Low
korea link;1,2559372581;Low
top news;-0,730239700223;Low
twitter ban;1,21813161041;Low
stock market;-0,71826002137;Low
jp morgan;1,04890006705;Low
bitcoin surg;-0,66375245895;Low
bitcoin mine;1,02437385909;Low
cryptocurr trade;-0,618006112484;Low
global ransomwar attack;0,886887852451;Low
bitcoin boom;-0,612605734997;Low
dark web;0,872920566348;Low
warn bitcoin;-0,606746765307;Low
jpmorgan hack;0,860817122475;Low
buy bitcoin;-0,581612837572;Low
health care;0,830212619768;Low
bitcoin hit;-0,579929751302;Low
bitcoin fraud;0,820347407486;Low
cryptocurr market;-0,576515586018;Low
know global;0,79351104818;Low
year high;-0,568540325767;Low
santo mine;0,766162516844;Low
asia share;-0,5263505124;Low
trader play;0,762590295689;Low
game throne;-0,519309685065;Low
cashless societi;0,759111111419;Low
bitcoin hit;-1,25850904593;Lowest
bitcoin fall;1,95373497537;Lowest
blockchain technolog;-0,997504708713;Lowest
bitcoin plung;1,69345964276;Lowest
time high;-0,896015502605;Lowest
bitcoin drop;1,33529399496;Lowest
bitcoin top;-0,889287692353;Lowest
bitcoin slide;1,31125145881;Lowest
initi coin;-0,76436957975;Lowest
facebook ban;1,27128659153;Lowest
initi coin offer;-0,76436957975;Lowest
bitcoin extend;1,15176021862;Lowest
bitcoin break;-0,730679882387;Lowest
cryptocurr exchang;1,01375834126;Lowest
new york;-0,728182693626;Lowest
bitcoin cash;1,00990864831;Lowest
hedg fund;-0,639425858009;Lowest
mt gox;0,959506629861;Lowest
bitcoin creator;-0,631989622488;Lowest
price plummet;0,903471346729;Lowest
blockchain startup;-0,621689269649;Lowest
cryptocurr trade;0,900609136513;Lowest
bitcoin soar;-0,615099779044;Lowest
hong kong;0,86310315378;Lowest
game throne;-0,610666143001;Lowest
worst week sinc;0,830371382315;Lowest
regul bitcoin;-0,587240857663;Lowest
week sinc;0,830371382315;Lowest
surg past;-0,578111424243;Lowest
head worst;0,825918577042;Lowest
