Word;Coefficient;Target
c__ c_adrien;-15,0006757584;High
c_financialbuzz c_com;-13,6877906981;High
c__ c_adrien c_guinet;-15,0006757584;High
c_prosecutor c_said;-13,7181297577;High
c__ c_also;-15,0006757584;High
c_darknet c_market;-13,8559378876;High
c__ c_also c_come;-15,0006757584;High
c_marshal c_servic;-13,9580817473;High
c__ c_anim;-15,0006757584;High
c_legend c_room;-13,9905425929;High
c__ c_anim c_fill;-15,0006757584;High
c_chicago c_board c_option;-13,9947822297;High
c__ c_aspx;-15,0006757584;High
c_board c_option;-13,9959897468;High
c__ c_aspx c_eastern;-15,0006757584;High
c_chicago c_board;-13,9995459303;High
c__ c_breitwoman;-15,0006757584;High
c_ethereum c_classic;-14,0046391249;High
c__ c_breitwoman c_januari;-15,0006757584;High
c_invest c_trust;-14,0109352777;High
c__ c_breitwoman c_septemb;-15,0006757584;High
c_board c_option c_exchang;-14,0185974746;High
c__ c_card;-15,0006757584;High
c_craig c_wright;-14,0247503082;High
c__ c_card c_type;-15,0006757584;High
c_cent c_percent;-14,0326175848;High
c__ c_check;-15,0006757584;High
c_googletag c_pubad;-14,0354671255;High
c__ c_check c_link;-15,0006757584;High
c_document c_write;-14,0366560405;High
c__ c_along;-15,0003248985;Highest
c_financialbuzz c_com;-13,680651755;Highest
c__ c_along c_support;-15,0003248985;Highest
c_game c_throne;-13,7454224756;Highest
c__ c_anim;-15,0003248985;Highest
c_nhs c_digit;-13,793167749;Highest
c__ c_anim c_fill;-15,0003248985;Highest
c____ c_p;-13,826601913;Highest
c__ c_breitwoman;-15,0003248985;Highest
c_look c_inform;-13,8732258592;Highest
c__ c_breitwoman c_januari;-15,0003248985;Highest
c_forward c_look c_inform;-13,8741688017;Highest
c__ c_breitwoman c_septemb;-15,0003248985;Highest
c_invest c_trust;-13,8982419828;Highest
c__ c_check;-15,0003248985;Highest
c_wan c_na;-13,9209368056;Highest
c__ c_check c_link;-15,0003248985;Highest
c_bitcoin c_invest c_trust;-13,984584703;Highest
c__ c_column;-15,0003248985;Highest
c_cent c_per c_barrel;-14,0026607087;Highest
c__ c_column c_necessarili;-15,0003248985;Highest
c_hit c_ransomwar;-14,004953306;Highest
c__ c_compani;-15,0003248985;Highest
c_wurfl c_is_mobil;-14,0261030666;Highest
c__ c_compani c_gocopyright;-15,0003248985;Highest
c_critic c_infrastructur;-14,038812492;Highest
c__ c_cryptocurr;-15,0003248985;Highest
c_virtual c_currenc c_use;-14,0444972935;Highest
c__ c_cryptocurr c_thefuturea;-15,0003248985;Highest
c_window c__taboola;-14,0512316834;Highest
c__ c_adrien;-14,9965332952;Low
c_wurfl c_is_mobil;-13,7300906132;Low
c__ c_adrien c_guinet;-14,9965332952;Low
c_prosecutor c_said;-13,9897667105;Low
c__ c_along;-14,9965332952;Low
c_dark c_net;-14,0273160062;Low
c__ c_along c_support;-14,9965332952;Low
c_dimon c_said;-14,044283745;Low
c__ c_also;-14,9965332952;Low
c_pirat c_caribbean;-14,1057670695;Low
c__ c_also c_come;-14,9965332952;Low
c_btc c_e;-14,116535762;Low
c__ c_anim;-14,9965332952;Low
c_financialbuzz c_com;-14,1292180421;Low
c__ c_anim c_fill;-14,9965332952;Low
c_cyber c_crime;-14,1720045637;Low
c__ c_aspx;-14,9965332952;Low
c_wurfl c_object c_wurfl;-14,1749471706;Low
c__ c_aspx c_eastern;-14,9965332952;Low
c_wurfl c_object;-14,1749471706;Low
c__ c_card;-14,9965332952;Low
c_wurfl c_is_mobil c_wurfl;-14,1749471706;Low
c__ c_card c_type;-14,9965332952;Low
c_wurfl c_is_mobil c_navig;-14,1749471706;Low
c__ c_compani;-14,9965332952;Low
c_wurfl c_complete_device_nam c_indexof;-14,1749471706;Low
c__ c_compani c_gocopyright;-14,9965332952;Low
c_wurfl c_complete_device_nam;-14,1749471706;Low
c__ c_countri;-14,9965332952;Low
c_whatsapp c_document c_readi;-14,1749471706;Low
c__ c_adrien;-14,9961623315;Lowest
c_ice c_tea;-13,7324892126;Lowest
c__ c_adrien c_guinet;-14,9961623315;Lowest
c_wurfl c_is_mobil;-13,8192159958;Lowest
c__ c_along;-14,9961623315;Lowest
c_googletag c_pubad;-13,8903264579;Lowest
c__ c_along c_support;-14,9961623315;Lowest
c_long c_blockchain;-13,9208720944;Lowest
c__ c_also;-14,9961623315;Lowest
c_document c_write;-13,9285776956;Lowest
c__ c_also c_come;-14,9961623315;Lowest
c_long c_island c_ice;-13,9377367238;Lowest
c__ c_aspx;-14,9961623315;Lowest
c_island c_ice c_tea;-13,9377367238;Lowest
c__ c_aspx c_eastern;-14,9961623315;Lowest
c_island c_ice;-13,9395096511;Lowest
c__ c_breitwoman;-14,9961623315;Lowest
c_long c_island;-13,9406182791;Lowest
c__ c_breitwoman c_januari;-14,9961623315;Lowest
c_korean c_exchang;-13,9438856608;Lowest
c__ c_breitwoman c_septemb;-14,9961623315;Lowest
c_rose c_cent;-13,9910135295;Lowest
c__ c_card;-14,9961623315;Lowest
c_bitcoin c_plung;-14,0361774265;Lowest
c__ c_card c_type;-14,9961623315;Lowest
c_chang c_name;-14,0430050879;Lowest
c__ c_check;-14,9961623315;Lowest
c_etern c_blue;-14,0700493321;Lowest
c__ c_check c_link;-14,9961623315;Lowest
c_suspend c_trade;-14,079759992;Lowest
