Word;Coefficient
aaatrad;-12,560615595
technolog news est sourc;-9,00526753356
aaatrad cryptoexchang;-12,560615595
bitcoin drop;-9,95589202999
aaatrad cryptoexchang take;-12,560615595
top busi news est;-10,1389140331
aadhaar;-12,560615595
busi news est;-10,1389140331
aadhaar advoc;-12,560615595
bitcoin slide;-10,1458063878
aadhaar advoc strong;-12,560615595
worst;-10,1951261396
aadhaar advoc strong regul;-12,560615595
twin;-10,3122099257
aadhaar databas;-12,560615595
worst week;-10,4146615691
aadhaar game;-12,560615595
plummet;-10,4391135555
aadhaar game changer;-12,560615595
bitcoin tumbl;-10,4502296507
